X;ano;cbo_2002;grau_instrucao_apos_2005;id_municipio;sigla_uf;mulher;raca_cor;tempo_emprego;valor_remuneracao_dezembro;idade;idade2;graduacao;mestrado;doutorado;sp;log_Sal;SEXO_UF;homem_branco_sp;homem_preto_sp;mulher_branca_sp;mulher_preta_sp;homem_branco_mg;homem_preto_mg;mulher_branca_mg;mulher_preta_mg;Tempo_emprego2;Grau_instrucao;mestrado completo;mestrado_completo;graduacao_completa;grau_instrucao;capital
2060;2019;251205;9;3550308;SP;1;0;23,9;2339,7;42;1764;1;0;0;1;7,76;1 0 1;0;0;1;0;0;0;0;0;571,21;1 0 0;0;0;1;0;1
2061;2019;251205;9;3550308;SP;1;0;80,9;10529,64;31;961;1;0;0;1;9,26;1 0 1;0;0;1;0;0;0;0;0;6544,81;1 0 0;0;0;1;0;1
2062;2019;251205;9;3550308;SP;1;0;6,8;5040,18;28;784;1;0;0;1;8,53;1 0 1;0;0;1;0;0;0;0;0;46,24;1 0 0;0;0;1;0;1
2063;2019;251205;9;3550308;SP;1;1;2,9;3564;35;1225;1;0;0;1;8,18;1 1 1;0;0;0;1;0;0;0;0;8,41;1 0 0;0;0;1;0;1
2064;2019;251205;9;3550308;SP;0;0;9,7;3449,09;25;625;1;0;0;1;8,15;0 0 1;1;0;0;0;0;0;0;0;94,09;1 0 0;0;0;1;0;1
2065;2019;251205;9;3550308;SP;0;0;7,8;3000;26;676;1;0;0;1;8,01;0 0 1;1;0;0;0;0;0;0;0;60,84;1 0 0;0;0;1;0;1
2066;2019;251205;9;3550308;SP;0;0;254,5;8404,72;44;1936;1;0;0;1;9,04;0 0 1;1;0;0;0;0;0;0;0;64770,25;1 0 0;0;0;1;0;1
2068;2019;251205;9;3550308;SP;1;0;16,5;3418,84;24;576;1;0;0;1;8,14;1 0 1;0;0;1;0;0;0;0;0;272,25;1 0 0;0;0;1;0;1
2069;2019;251205;9;3550308;SP;1;0;43,6;3642,21;50;2500;1;0;0;1;8,20;1 0 1;0;0;1;0;0;0;0;0;1900,96;1 0 0;0;0;1;0;1
2070;2019;251205;9;3550308;SP;1;0;3,4;15000;30;900;1;0;0;1;9,62;1 0 1;0;0;1;0;0;0;0;0;11,56;1 0 0;0;0;1;0;1
2073;2019;251205;9;3550308;SP;0;0;7,9;11152,75;35;1225;1;0;0;1;9,32;0 0 1;1;0;0;0;0;0;0;0;62,41;1 0 0;0;0;1;0;1
2074;2019;251205;9;3550308;SP;1;0;126,7;9433,2;32;1024;1;0;0;1;9,15;1 0 1;0;0;1;0;0;0;0;0;16052,89;1 0 0;0;0;1;0;1
2076;2019;251205;9;3550308;SP;1;0;61,2;3879,39;26;676;1;0;0;1;8,26;1 0 1;0;0;1;0;0;0;0;0;3745,44;1 0 0;0;0;1;0;1
2077;2019;251205;9;3550308;SP;1;0;92,9;20514;34;1156;1;0;0;1;9,93;1 0 1;0;0;1;0;0;0;0;0;8630,41;1 0 0;0;0;1;0;1
2078;2019;251205;9;3550308;SP;1;0;5,2;3231,9;22;484;1;0;0;1;8,08;1 0 1;0;0;1;0;0;0;0;0;27,04;1 0 0;0;0;1;0;1
2081;2019;251205;10;3550308;SP;0;0;35,4;9210,07;30;900;0;1;0;1;9,13;0 0 1;1;0;0;0;0;0;0;0;1253,16;0 1 0;1;1;0;1;1
